City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
140,yellowknife,62.456,-114.3525,5.79,100,75,3.6,CA,1728910428
141,nacala,-14.5428,40.6728,29.62,61,75,5.14,MZ,1728910429
142,hengyang,26.8881,112.615,20.11,88,100,1.17,CN,1728910430
143,jamestown,42.097,-79.2353,5.01,99,100,5.66,US,1728910431
144,katsuura,35.1333,140.3,22.08,68,100,6.09,JP,1728910432
145,ust-nera,64.5667,143.2,-10.21,98,88,3.58,RU,1728910433
146,metairie,29.9841,-90.1528,21.67,85,0,0.89,US,1728910434
147,coquimbo,-29.9533,-71.3436,11.85,100,100,1.54,CL,1728910132
148,fortaleza,-3.7227,-38.5247,28.93,82,75,8.75,BR,1728910299
149,sandnessjoen,66.0217,12.6316,6.06,81,75,5.14,NO,1728910438
150,sarupathar,26.1984,93.8094,22.37,94,8,1.3,IN,1728910439
151,keflavik,64.0049,-22.5624,3.24,52,0,1.54,IS,1728910440
152,palmer,42.1584,-72.3287,8.8,81,100,2.06,US,1728910382
153,hargeysa,9.56,44.065,29.29,24,29,6.14,SO,1728910442
154,coahuayana de hidalgo,18.7,-103.6583,23.75,82,46,1.29,MX,1728910443
155,westport,41.1415,-73.3579,10.71,87,100,2.06,US,1728910444
156,vyazemskiy,47.5378,134.7525,16.6,61,100,7.54,RU,1728910445
157,maloyaroslavets,55.0146,36.4719,-0.06,97,100,4.79,RU,1728910446
158,brezina,33.0989,1.2608,27.45,30,43,6.65,DZ,1728910447
159,kodiak,57.79,-152.4072,7.73,87,75,5.66,US,1728910238
160,aasiaat,68.7098,-52.8699,-2.18,87,86,1.29,GL,1728910449
161,enniskillen,54.3461,-7.6413,12.57,72,100,2.24,GB,1728910450
162,xai-xai,-25.0519,33.6442,29.24,46,0,6.63,MZ,1728910451
163,penzance,50.1186,-5.5371,14.38,100,75,4.12,GB,1728910452
164,okha,53.5739,142.9478,8.61,79,100,6.05,RU,1728910453
165,plastun,44.7561,136.2939,10.83,96,10,1.42,RU,1728910454
166,sefaatli,39.5043,34.7563,20.59,42,100,3.73,TR,1728910456
167,enewetak,11.3474,162.3373,28.49,78,100,5.04,MH,1728910457
168,talata mafara,12.5732,6.0597,33.57,39,50,1.26,NG,1728910458
169,whitehorse,60.7161,-135.0538,3.43,84,75,6.71,CA,1728910459
170,kenai,60.5544,-151.2583,6.19,89,0,2.57,US,1728910460
171,longyearbyen,78.2186,15.6401,3.91,75,40,7.72,SJ,1728910461
172,acarau,-2.8856,-40.12,31.14,53,0,8.11,BR,1728910462
173,lata,40.1629,-8.3327,27.49,51,51,3.53,PT,1728910463
174,nantucket,41.2835,-70.0995,18.41,94,0,9.48,US,1728910464
175,selibaby,15.159,-12.1829,34.59,37,100,4.1,MR,1728910465
176,belyy yar,53.6039,91.3903,-5.06,86,0,0.0,RU,1728910466
177,temple,31.0982,-97.3428,17.95,63,0,3.6,US,1728910266
178,junin de los andes,-39.9504,-71.0694,11.35,55,0,2.29,AR,1728910468
179,big bear lake,34.2439,-116.9114,9.16,30,0,1.14,US,1728910469
180,hawaiian paradise park,19.5933,-154.9731,22.72,99,100,0.0,US,1728910470
181,kirkwall,58.9848,-2.9587,11.09,87,75,5.66,GB,1728910472
182,brokopondo,4.75,-55.1667,27.54,67,60,2.42,SR,1728910473
183,kuanda,56.3161,116.0806,-12.52,80,12,0.49,RU,1728910474
184,inarajan village,13.2736,144.7484,27.54,91,100,2.52,GU,1728910475
185,bel ombre,-4.6167,55.4167,29.91,66,40,4.63,SC,1728910476
